,text,label
27955,"Начал авторизовываться - приложение упало. Открываю снова - закрывается. Удаляю, скачиваю и устанавливаю заново - не лечится. Приложение открывается и сразу же падает. iPad, iOS 12.5.7",негативная
28916,Только ради просмотра сериалов скачала?,нейтральная
13437,ничего,нейтральная
6966,Почему  выдаёт не всё я знаю  что видосов коневского до фига а поиск с 20шт дант,нейтральная
27436,"Надеюсь ютуб не заблочат, так как альтернативы как не было так и нет. Вк видео, рутуб - отстали лет на 20 от того же ютуба. Функций мало, грузит бесконечно, ошибки, вылеты. Где поиск видео на канале? Если на канале 1000 видео, как найти то, что нужно тебе? Поиск сделать не можете адекватный за столько лет. Одну звезду поставил, за возможность смотреть фильмы в хорошем качестве (в моменты когда оно живое)",негативная
10158,😱😱😱😱😱😱,негативная
10848,мобильное приложение ужасное,негативная
15787,всё отлично. хочется больше показов))),позитивная
2378,все,мусор
12424,Аудиокниги .Мрия.,нейтральная
12972,Пока не знаю. Новичок,нейтральная
12013,Много всего интересного и интересных ведущих! ,позитивная
7050,"Поиск по запросу, а не весь мусор который есть!
",негативная
23138,Хорошее приложение,позитивная
3591,Всё чётко.,позитивная
23998,"Я вообще не могу зайти в аккаунт или зарегистрироваться. Что делать не знаю. В этом приложении не чего не написано, тех. поддержки нет. и в Ютубе видео уже не выложить. Пипец.",негативная
14770,информация,мусор
18317,"В общем, пользовался я вашим приложение, не понравилось. Ютуб тянет интернет что бы видео не тормозило. Решите этот вопрос. Потом всё-таки интересно видеть популярные комментарии людей",негативная
3534,"
Все",мусор
12591,Хорошие программы ,позитивная
20271,Супер за фоновую прослушка но нужно добавить ответ на комментарий,нейтральная
4556,Авторизация через вк ,нейтральная
17174,"Мне понравилось данное приложение в простоте его работы! Там нет таких лагов как в Ютубе и также, нет проблем с вылетом! Вообщем мне оно ОЧЕНЬ сильно понравилось)",позитивная
18311,Мне приложение понравилось смотрю тут своих любимых блогеров,позитивная
10157,"Почему , когда страница перезагружается не сохраняются насторойки? Экран становится маленьким и отключается звук",негативная
11957,Ваши передачи  ваши программы ,мусор
17706,"Просто образец убогости. До этапа ""хмм, может контент интересный попробовать заливать?"", похоже, ещё далеко?",негативная
24740,"Приложение хорошее. Но сделайте пожалуйста функцию чтобы переводить видео на телевизор, в Ютубе такое есть. Если будет у вас такое, я буду очень рада!",нейтральная
954,Считаю внесение фотографий документов лишним,негативная
12295,вае,мусор
11671,Всё ,мусор
3227,"Патриотическое воспитание сейчас важно,надо об этом говорить",мусор
28050,"Бесите, но все равно молодцы",нейтральная
25958,???,мусор
28399,"Сколько ни пытался, видео в приложение не загружается от слова совсем. Оценку исправлю, когда заработает!",негативная
24022,пока все хорошо так держать,позитивная
19538,"Помню писал что надо добавить Счëтчик лайков и просмотров, и добавили, платформа реально становится хорошой и удобной! И ещë хочу увидеть на платформе такую функцию как самое популярное видео и самое первое тогда бы вобще супер было бы!",нейтральная
11441,"всё
",мусор
24681,"Мне понравилось это приложения!!! Но 4звезды за некоторые минусы. Пример:не очень удобные настройки профиля, Нельзя посмотреть просмотры на видео и лайки. Зделайте пожалуйста что бы было видно просмотры и лайки",нейтральная
20263,Пожалуйсто бобавте возможность ставить лайки🙏,негативная
11750,=,мусор
21119,"Up: спасибо, поправили. Old: Я каждый день прохожу операцию входа в аккаунт, можно уже сделать, чтобы я один раз зашёл с своего телефона и более этого не делал? Иначе не возможно пользоваться избранным!!!",негативная
18024,"За ixbt вам предатели, у хохлов на поводу своих же душите",негативная
11108,Очень всё тормозит и трафик кушает большой,негативная
15994,Аналитика ,мусор
27068,"Верните нормально работающий полноэкранный режим. Отписки в стиле ""вы поставили себе на телефон от андроид тв"" просьба не писать.",негативная
15890,"аналитику по видео, ctr и тд. Сделать ближе к ютуб. 
",негативная
22622,Rutube становится удобнее и приятнее в использовании,позитивная
2373,быстро и просто,позитивная
22874,При прослушивании в фоне смартфон греется более +40 ° !!!,негативная
19610,"Отличное приложение, рекомендую 👌",позитивная
2261,быстро просто,позитивная
16590,Всё.,мусор
19252,"""Смотреть позже"" здорового человека: 1. Отобрал интересное 2. Расставил в нужном порядке 3. Прослушал ПОДРЯД. ""Смотреть позже"" курильщика и Rutube: 1. Отобрал интересное 2. Расставить в нужном порядке нельзя 3. За отобранным роликом надо обязательно подсунуть рандомный, ибо нефиг! Каждый следующий ролик надо включать вручную. Когда решите эту проблему? Возможность смотреть нужный мне контент в нужном мне порядке непозволительная роскошь? Инструмент управления порядком просмотра необходим!",негативная
3905,Лёгкость и быстрота,позитивная
17434,Ок,нейтральная
12961,Время модерации,нейтральная
2405,"окей
",нейтральная
15962,аналитика и просмотры,нейтральная
5243,Убрать рекламу!!! ,негативная
28324,"Да сколько ж можно!! Хватит писать, что проблемы из-за «не такой» связи или из-за VPN! У меня со связью всё прекрасно! И впн отключён. Может уже пора что-то сделать?? Видео загрузиться не может, периодически вообще ошибку выдаёт. Все нормальные разработчики уехали что ли? Остались только без мозгов и без рук??",негативная
2307,все ок!,нейтральная
1721,Всë быстро :) ,позитивная
1217,Не понятно куда приходит СМС,нейтральная
18389,Классное приложение👍,позитивная
6053,поиск,мусор
1571,Хорошо ,позитивная
12768,минимум реклам и качество видео - класс!,позитивная
26009,Хорошее приложение. Мне нравится.,позитивная
20735,круто,позитивная
20053,нету истории,негативная
11210,чаще Ирина Алкснис,мусор
23605,Нашёл слив була и лолы,нейтральная
11973,лучший сайт! комфортик,позитивная
3551,Скорость ,мусор
21164,"Ужасное приложение, видео смотреть невозможно, картинка зависает, а звук идёт дальше, поработайте над приложением ещё! Ужасно, до ютуба вообще не дотягивает",негативная
8686,супер,позитивная
21717,Видео не погружаются нормально. Через каждую минуту виснит...,негативная
1960,Быстро,позитивная
11788,пока знакомлюсь,нейтральная
6281,"Не получил нужный результат. Выдает другие выпуски Битвы, хотя я указал точный номер",негативная
28394,"Нет значка передачи трансляции на телевизор, видео на тв не вывести.",негативная
21604,Я устал аккаунты вписывать. Постоянное вылетание аков. Что-то поднадоело каждый раз восстанавливать. 1 звезда.,негативная
14852,идея проекта,нейтральная
726,Добавить регистрацию по номеру телефона ,негативная
11804,ekstrasensy,мусор
152,На ютубе никакой регистрации не требуется,негативная
27032,Конченое заключение приложения,негативная
16866,Отличное приложение!,позитивная
28426,К приложению просто куча вопросов! 1.почему постоянно выкидывает из приложения и аккаунта? 2.где ветки комментариев и лайки? 3.почему часто название видео не совпадает с картинкой? 4.где посмотреть количество просмотров? Список можно еще долго продолжать… Исправьте пожалуйста хотя бы это!!!!,негативная
3849,быстро,позитивная
4820,простота регистрации,позитивная
26188,Приложение супер !!! Разработчик или разработчики у вас золоты❤️☺️❤️ руки 👍🏻 можно жениться на вас или на тебе золотой или золотый ☺️☺️☺️❤️❤️❤️❤️❤️ я люблю хэто приложение,позитивная
18260,"Отличное приложение,все функционально и понятно 👍🏻",позитивная
1657,Хорошо,позитивная
28945,"Но через LTE невозможно смотреть видосы иногда вообще не открываются, редко когда, а приходится по вайфаю смотреть когда дома, а еще при повороте экрана видос становится черным, а звук остается. iPhone 13 Pro",негативная
27269,Через день запрашивает код для подключения телевизора.,негативная
2417,Мне нравиться видео Влада,мусор
11959,Vse,мусор
27566,"Все бы ничего,если бы не одно НО!Постоянно выкидывает с профиля и каждый раз приходится заходить по новой!!!!!!раздражает!",негативная
10712,"Папки, где можно сохранять по темам понравившиеся видео, чтобы пересмотреть",нейтральная
23426,"Хорошее приложение. Мне нравится, раньше на нем смотрела дом2))) теперь заезды в Африке , ещё нравится, что можно импровизацию посмотреть , не убрали выпуски, хотя они ушли на стс.",позитивная
29052,"ставлю 5 звёзд!!приложение хорошее!
но есть один минус , когда я смотрела сериал он переодически выключался и приложение просило перезагрузить . впрочем всё хорошо",нейтральная
19519,"Наконец, сделали фоновое проигрывание. У ютуба оно платное...",позитивная
5404,кошмар,негативная
10772,"Ужасно грузит
",негативная
28565,Авторизации хватает на 2 дня. После вылетает и необходимо проходить авторизацию повторно …,негативная
20688,"В личный кабинет не войти, смс с кодом не присылает. Голосового набора нет в поиске на телевизоре",негативная
8601,"поиск сериалов
",нейтральная
8250,Все,мусор
14227,побольше  такова  кино ,негативная
21345,"Нет подключению к телевизиру, рылся по по настройкам нефига, значек просмотр на телевизор, а телевизор старвинд я вчера установил рутубе.",негативная
1649,Все,мусор
5294,"Убрать рекламу, добавить звук",негативная
16163,Очень часто выкидывает со станицы загрузки видео,негативная
7445,Создать плейлисты,негативная
18769,"Рутуб начал думать что я сижу с планшета , хотя это телефон, как итог не могу зайти в свой аккаунт , отвратительный и не удобный интерфейс, очень сильно надеюсь вы это исправите, (мой дивайс Realme 8 Pro)",негативная
14933,Ничего,нейтральная
25058,Восторге,позитивная
18460,Это самая гавнина из всех говнин.,негативная
6669,"При попытке найти то что мне нужно, сайт выдаёт совершенно другое, к сожалению. Возникает вопрос, то ли это такой поисковик на RUTUBE то ли на сайте слишком мало информации, для такого сайта как RUTUBE.",негативная
18449,"очень понравилось данное приложение все доступно и понятно, быстро разобралась, теперь только в нем смотрю видео, рекомендую.",позитивная
17264,Доработайте!!!!! Ужасное приложение,негативная
13376,Нормально,нейтральная
9788,Всё,мусор
23267,"хорошее приложение, радует, что работает в фоновом режиме.",позитивная
27750,"Как же это здорово смотреть и слушать в фоновом режиме!!!!!, надеюсь что мои подписки - блогеры переедут сюда)",позитивная
26630,"На рутюбе 50% видео запрещены к показу правообладателем. То есть,самые интересные. Меня интересует, кто этот правообладатель, и почему от него убудет, если я посмотрю программу, которую не смогла посмотреть по телевизору? Какая причина им (ими) движет - жадность, вредность или чувство превосходства от обладания? Вопрос риторический, отвечать не надо.",негативная
9265,Очень часто не грузит видео ,негативная
11751,"актуальность, позитивизм.",нейтральная
23251,"Приложение хорошее, но когда я смотрю видео, а потом его выключаю звук ещё идёт. Хотелось бы чтобы при выключении телефона видео останавливалось. Ещё мне хотелось бы чтобы вы добавили : опрос и шортсы( короткие вертикальные видео). А так всё работает, спасибо. Удачи!",нейтральная
2287,"коротко, логично.",позитивная
8721,Супер,позитивная
9092,Канал тнт,нейтральная
22210,"Добавьте подключение устройств в приложение. При переходе по ссылке рутуб/активация - открывается приложение, в котором этой настройки нет. Приходится открывать сайт вручную в браузере и вводить код там.",негативная
8039,попробуйте выбирать более новый контент.,негативная
22839,Круто❤️,позитивная
8278,лучше чем ютюб,позитивная
28258,"Почему все делается через ж, к примеру авторизация. На ютубе зашел один раз и забыл, тут же постоянно выбрасывает. Я например использовал функцию скрыть e-mail, теперь каждый раз приходится копировать это почту. И даже связка ключей не работает. Круто, что же.",негативная
17561,Сплошная реклама достала (((,негативная
4276,Все,мусор
27621,"Добрый день. Уже месяц не могу редактировать видео и заменить заставку , раздел Студия RUTUB не открывается, при нажатии просто белый экран и все. Пробовала переустанавливать приложение, результата ноль. Телефон айфон 11. Как решить эту проблему?",негативная
24999,"Улучшите приложение на тв, глючит через раз. И сделайте пожалуйста чтоб в аккаунт не нужно было перезаходить",негативная
14191,Это лучшее приложение!!)),позитивная
